nohup: ignoring input
OpenBLAS WARNING - could not determine the L2 cache size on this system, assuming 256k
2026-05-13 08:44:00,564 - master_brain - INFO - REASON FOR HOLD: Only 1 BUY votes. Need 3.
2026-05-13 08:44:00,564 - master_brain - INFO - Analysis complete for AUDJPY=X: HOLD (30%)
2026-05-13 08:44:00,564 - master_brain - INFO - Analyzing GBPNZD=X on 1h timeframe
2026-05-13 08:44:00,562 - master_brain - INFO - agent3: HOLD (20%)
2026-05-13 08:44:00,564 - master_brain - INFO - agent4: SELL (30%)
2026-05-13 08:44:00,564 - master_brain - INFO - agent5: N/A (90%)
2026-05-13 08:44:00,564 - master_brain - INFO - REASON FOR HOLD: Only 1 SELL votes. Need 3.
2026-05-13 08:44:00,564 - master_brain - INFO - Analysis complete for CHFJPY=X: HOLD (30%)
2026-05-13 08:44:00,564 - master_brain - INFO - Analyzing AUDNZD=X on 1h timeframe
2026-05-13 08:44:00,576 - master_brain - INFO - Analyzing CADCHF=X on 1h timeframe
2026-05-13 08:44:02,237 - utils.data_fetcher - INFO - Fetching data for AUDNZD=X (AUDNZD=X) on 1h timeframe
2026-05-13 08:44:02,237 - utils.data_fetcher - INFO - Fetching data for GBPNZD=X (GBPNZD=X) on 1h timeframe
2026-05-13 08:44:02,237 - utils.data_fetcher - INFO - Fetching data for CADCHF=X (CADCHF=X) on 1h timeframe
2026-05-13 08:44:02,237 - utils.data_fetcher - INFO - Fetching data for GBPAUD=X (GBPAUD=X) on 1h timeframe
2026-05-13 08:44:02,238 - utils.data_fetcher - INFO - Fetching data for GBPCAD=X (GBPCAD=X) on 1h timeframe
2026-05-13 08:44:02,239 - utils.data_fetcher - INFO - Fetching data for GBPCHF=X (GBPCHF=X) on 1h timeframe
2026-05-13 08:44:02,300 - utils.data_fetcher - INFO - Successfully fetched 122 candles for GBPNZD=X
2026-05-13 08:44:02,319 - utils.data_fetcher - INFO - Successfully fetched 122 candles for GBPCHF=X
2026-05-13 08:44:02,322 - utils.data_fetcher - INFO - Successfully fetched 122 candles for CADCHF=X
2026-05-13 08:44:02,323 - utils.data_fetcher - INFO - Successfully fetched 122 candles for GBPCAD=X
2026-05-13 08:44:02,326 - utils.data_fetcher - INFO - Successfully fetched 122 candles for AUDNZD=X
2026-05-13 08:44:02,348 - utils.data_fetcher - INFO - Successfully fetched 122 candles for GBPAUD=X
2026-05-13 08:44:04,301 - utils.data_fetcher - INFO - Fetching data for GBPNZD=X (GBPNZD=X) on 4h timeframe
2026-05-13 08:44:04,326 - utils.data_fetcher - INFO - Fetching data for GBPCHF=X (GBPCHF=X) on 4h timeframe
2026-05-13 08:44:04,326 - utils.data_fetcher - INFO - Fetching data for CADCHF=X (CADCHF=X) on 4h timeframe
2026-05-13 08:44:04,328 - utils.data_fetcher - INFO - Fetching data for GBPCAD=X (GBPCAD=X) on 4h timeframe
2026-05-13 08:44:04,336 - utils.data_fetcher - INFO - Fetching data for AUDNZD=X (AUDNZD=X) on 4h timeframe
2026-05-13 08:44:04,343 - utils.data_fetcher - INFO - Successfully fetched 134 candles for GBPNZD=X
2026-05-13 08:44:04,356 - utils.data_fetcher - INFO - Fetching data for GBPAUD=X (GBPAUD=X) on 4h timeframe
2026-05-13 08:44:04,500 - utils.data_fetcher - INFO - Successfully fetched 134 candles for GBPCAD=X
2026-05-13 08:44:04,517 - utils.data_fetcher - INFO - Successfully fetched 134 candles for CADCHF=X
2026-05-13 08:44:04,523 - utils.data_fetcher - INFO - Successfully fetched 134 candles for AUDNZD=X
2026-05-13 08:44:04,558 - utils.data_fetcher - INFO - Successfully fetched 134 candles for GBPCHF=X
2026-05-13 08:44:04,717 - utils.data_fetcher - INFO - Successfully fetched 134 candles for GBPAUD=X
2026-05-13 08:44:04,718 - master_brain - INFO - --- SIGNAL DEBUGGER ---
2026-05-13 08:44:04,796 - master_brain - INFO - agent1: HOLD (0%)
2026-05-13 08:44:04,804 - master_brain - INFO - agent2: HOLD (25%)
2026-05-13 08:44:04,805 - master_brain - INFO - agent3: HOLD (20%)
2026-05-13 08:44:04,805 - master_brain - INFO - agent4: BUY (30%)
2026-05-13 08:44:04,805 - master_brain - INFO - agent5: N/A (90%)
2026-05-13 08:44:04,805 - master_brain - INFO - REASON FOR HOLD: Only 1 BUY votes. Need 3.
2026-05-13 08:44:04,805 - master_brain - INFO - Analysis complete for GBPNZD=X: HOLD (30%)
2026-05-13 08:44:04,805 - master_brain - INFO - Analyzing EURNZD=X on 1h timeframe
2026-05-13 08:44:04,819 - master_brain - INFO - --- SIGNAL DEBUGGER ---
2026-05-13 08:44:04,823 - master_brain - INFO - agent1: HOLD (0%)
2026-05-13 08:44:04,823 - master_brain - INFO - agent2: HOLD (25%)
2026-05-13 08:44:04,823 - master_brain - INFO - agent3: HOLD (20%)
2026-05-13 08:44:04,823 - master_brain - INFO - agent4: SELL (51%)
2026-05-13 08:44:04,823 - master_brain - INFO - agent5: N/A (90%)
2026-05-13 08:44:04,823 - master_brain - INFO - REASON FOR HOLD: Only 1 SELL votes. Need 3.
2026-05-13 08:44:04,823 - master_brain - INFO - Analysis complete for AUDNZD=X: HOLD (51%)
2026-05-13 08:44:04,856 - master_brain - INFO - Analyzing NZDCAD=X on 1h timeframe
2026-05-13 08:44:04,825 - master_brain - INFO - --- SIGNAL DEBUGGER ---
2026-05-13 08:44:04,876 - master_brain - INFO - agent1: HOLD (0%)
2026-05-13 08:44:04,876 - master_brain - INFO - agent2: HOLD (25%)
2026-05-13 08:44:04,878 - master_brain - INFO - --- SIGNAL DEBUGGER ---
2026-05-13 08:44:04,882 - master_brain - INFO - agent3: HOLD (20%)
2026-05-13 08:44:04,883 - master_brain - INFO - agent4: BUY (35%)
